(i(yvlg1.p)) (REAL.A)      (v(p)) (REAL.V)
         -761.79190n          -426.44462m
         -806.41912n          -451.42554m
         -851.01478n          -476.38864m
         -895.57711n          -501.33293m
         -940.10437n          -526.25744m
         -984.59482n          -551.16116m
           -1.02905u          -576.04313m
           -1.07346u          -600.90236m
           -1.11783u          -625.73786m
           -1.16215u          -650.54866m
           -1.20643u          -675.33378m
           -1.25067u          -700.09224m
           -1.29485u          -724.82305m
           -1.33898u          -749.52526m
           -1.38307u          -774.19787m
           -1.42709u          -798.83992m
           -1.47106u          -823.45044m
           -1.51498u          -848.02844m
           -1.55883u          -872.57297m
           -1.60262u          -897.08304m
           -1.64635u          -921.55771m
           -1.69002u          -945.99599m
           -1.73362u          -970.39692m
           -1.77715u          -994.75955m
           -1.82061u             -1.01908
           -1.86401u             -1.04337
           -1.90732u             -1.06761
           -1.95057u             -1.09181
           -1.99374u             -1.11596
           -2.03683u             -1.14008
           -2.07984u             -1.16414
           -2.12277u             -1.18817
           -2.16561u             -1.21214
           -2.20837u             -1.23607
           -2.25105u             -1.25995
           -2.29364u             -1.28377
           -2.33613u             -1.30755
           -2.37854u             -1.33128
           -2.42086u             -1.35495
           -2.46308u             -1.37857
           -2.50520u             -1.40214
           -2.54723u             -1.42565
           -2.58915u             -1.44910
           -2.63098u             -1.47250
           -2.67270u             -1.49584
           -2.71432u             -1.51912
           -2.75584u             -1.54234
           -2.79725u             -1.56549
           -2.83854u             -1.58859
           -2.87973u             -1.61163
           -2.92081u             -1.63460
           -2.96177u             -1.65750
           -3.00262u             -1.68034
           -3.04335u             -1.70312
           -3.08396u             -1.72582
           -3.12446u             -1.74846
           -3.16483u             -1.77103
           -3.20508u             -1.79353
           -3.24520u             -1.81596
           -3.28520u             -1.83832
           -3.32508u             -1.86060
           -3.36482u             -1.88282
           -3.40443u             -1.90495
           -3.44392u             -1.92701
           -3.48326u             -1.94900
           -3.52248u             -1.97091
           -3.56156u             -1.99274
           -3.60050u             -2.01449
           -3.63930u             -2.03617
           -3.67796u             -2.05776
           -3.71648u             -2.07927
           -3.75486u             -2.10070
           -3.79309u             -2.12204
           -3.83118u             -2.14331
           -3.90691u             -2.18558
           -3.94455u             -2.20658
           -4.01938u             -2.24833
           -4.05656u             -2.26908
           -4.13045u             -2.31029
           -4.16717u             -2.33076
           -4.24011u             -2.37143
           -4.27634u             -2.39162
           -4.34830u             -2.43172
           -4.38404u             -2.45163
           -4.45501u             -2.49115
           -4.49024u             -2.51077
           -4.56018u             -2.54970
           -4.59489u             -2.56901
           -4.66379u             -2.60733
           -4.69798u             -2.62634
           -4.76581u             -2.66405
           -4.79946u             -2.68274
           -4.86621u             -2.71981
           -4.89931u             -2.73819
           -4.96494u             -2.77461
